Residency,University,Offer type,Postgrad,Rural?,GPA,GAMSAT,GPA/7 + GAMSAT/100,Year,Deakin Bonus,Melbourne Access,,,,,,,,
Local,Australian National University,CSP,No,No,6.96,66,1.654285714,2021,,,,,,,,,,
Local,Australian National University,Other,No,No,6.63,71,1.657142857,2021,,,,,,,,,,
Local,Australian National University,CSP,No,No,6.83,73,1.705714286,2021,,,https://pagingdr.net,,,,,,,
Local,Australian National University,CSP,No,No,6.54,74,1.674285714,2021,,,Spreadsheet iterations:,,,,,,,
Local,Australian National University,Other,No,No,6.79,76,1.73,2021,,,"WunderBunny, dαni, Paraspeckle, GeorgieRB, med_entry, aabbcc, Ev_86, variegated",,,,,,,
Local,Australian National University,CSP,Yes,No,6.51,76,1.69,2021,,,,,,,,,,
Local,Australian National University,CSP,No,No,6,78,1.637142857,2021,,,,,,,,,,
Local,Australian National University,BMP,No,Yes,6.89,63,1.614285714,2021,6,,,,,,,,,
Local,Australian National University,CSP,No,Yes,5.75,64,1.461428571,2021,6,Yes,,,,,,,,
Local,Australian National University,BMP,No,Yes,7,68,1.68,2021,2,,Residency,(All),,,,,,
Local,Australian National University,BMP,No,Yes,6.63,74,1.687142857,2021,,,Rural?,No,,,,,,
Local,Australian National University,CSP,No,Yes,7,80,1.8,2021,,,,,,,,,,
International,Australian National University,FFP,No,No,6.67,67,1.622857143,2021,,,Average of GPA/7 + GAMSAT/100,Column Labels,,,,,,
International,Australian National University,FFP,No,No,7,69,1.69,2021,,,Row Labels,2015,2016,2017,2018,2019,2020,2021
Local,Deakin University,CSP,No,No,6.85,58,1.558571429,2021,8,,Australian National University, 1.62 , 1.64 , 1.64 , 1.67 , 1.65 , 1.64 , 1.67 
Local,Deakin University,BMP,No,No,6.59,61,1.551428571,2021,4,,Deakin University, 1.59 , 1.62 , 1.64 , 1.65 , 1.64 , 1.64 , 1.64 
Local,Deakin University,CSP,No,No,6.96,63,1.624285714,2021,4,,Flinders University, 1.57 , 1.58 , 1.58 , 1.52 , 1.54 , 1.58 , 1.63 
Local,Deakin University,CSP,No,No,6.9,64,1.625714286,2021,4,,Griffith University, 1.60 , 1.61 , 1.64 , 1.66 , 1.66 , 1.63 , 1.65 
Local,Deakin University,CSP,No,No,6.85,64,1.618571429,2021,,,University of Melbourne, 1.67 , 1.66 , 1.68 , 1.67 , 1.68 , 1.64 , 1.70 
Local,Deakin University,CSP,No,No,6.93,66,1.65,2021,8,,University of Notre Dame Fremantle, 1.53 , 1.56 , 1.55 , 1.58 , 1.59 , 1.59 , 1.59 
Local,Deakin University,CSP,No,No,6.28,67,1.567142857,2021,8,,University of Notre Dame Sydney, 1.54 , 1.55 , 1.57 , 1.64 , 1.59 , 1.59 , 1.61 
Local,Deakin University,FFP,No,No,6.81,67,1.642857143,2021,6,,University of Queensland, 1.60 , 1.61 , 1.61 , 1.67 , 1.63 , 1.59 , 1.66 
