,Timestamp,Rurality,University,Final Combo Score,GPA,GAMSAT,Raw Combo Score,UQ RMP/MP Tier,CASPer Quartile,Deakin Bonus,ANU Bonus,MQ Bonus (GPA),Notes,Outlier?
0,"=SORT(O2:AB, 2, TRUE, 3, TRUE, 4, FALSE)",Non-Rural,Australian National University,1.76729571428571,6.896,74.75,1.73264285714286,N/A,4th,0,2,0,-,
1,30/08/2023 13:46:08,Non-Rural,Australian National University,1.75642857142857,6.835,78,1.75642857142857,N/A,N/A,2,0,0,GAM,
2,23/10/2023 11:25:03,Non-Rural,Australian National University,1.74492857142857,6.865,73,1.71071428571429,N/A,4th,2,2,0,-,
3,07/09/2023 08:34:47,Non-Rural,Australian National University,1.74285714285714,6.88,76,1.74285714285714,N/A,2nd,0,0,0,-,
4,30/08/2023 16:08:15,Non-Rural,Australian National University,1.73582142857143,6.925,71.25,1.70178571428571,N/A,N/A,2,2,0,-,
5,31/08/2023 14:52:07,Non-Rural,Australian National University,1.73174142857143,6.967,70.25,1.69778571428571,N/A,3rd,0,2,0,-,
6,31/08/2023 20:21:56,Non-Rural,Australian National University,1.71535714285714,6.6,77.25,1.71535714285714,N/A,N/A,0,0,0,-,
7,28/10/2023 13:03:16,Non-Rural,Australian National University,1.71492857142857,6.667,76.25,1.71492857142857,N/A,N/A,0,0,0,-,
8,30/08/2023 16:51:10,Non-Rural,Australian National University,1.71367285714286,6.528,74.75,1.68007142857143,N/A,1st,0,2,0,-,
9,30/08/2023 16:54:37,Non-Rural,Australian National University,1.70966571428571,6.938,68.5,1.67614285714286,N/A,N/A,0,2,3,-,
10,30/08/2023 15:24:10,Non-Rural,Australian National University,1.70711571428571,6.903,68.75,1.67364285714286,N/A,3rd,0,2,0,-,Lowest I > Max R
11,31/08/2023 22:44:16,Non-Rural,Australian National University,1.69378571428571,6.729,73.25,1.69378571428571,N/A,3rd,2,0,0,N/A,-
12,07/09/2023 21:18:28,Non-Rural,Australian National University,1.69247142857143,6.575,72,1.65928571428571,N/A,2nd,2,2,0,-,-
13,30/08/2023 15:13:03,Non-Rural,Australian National University,1.69218,6.958,66.5,1.659,N/A,2nd,0,2,0,-,-
14,30/08/2023 11:13:03,Non-Rural,Australian National University,1.69164285714286,6.609,74.75,1.69164285714286,N/A,4th,2,0,0,-,-
15,30/08/2023 11:22:37,Non-Rural,Australian National University,1.68928571428571,6.505,76,1.68928571428571,N/A,N/A,2,0,0,-,-
16,30/08/2023 11:12:30,Non-Rural,Australian National University,1.68584142857143,6.792,68.25,1.65278571428571,N/A,4th,0,2,0,-,-
17,31/08/2023 06:03:02,Non-Rural,Australian National University,1.67425714285714,6.52,71,1.64142857142857,N/A,N/A,0,2,0,-,-
18,03/09/2023 23:51:26,Non-Rural,Australian National University,1.64214285714286,6.84,66.5,1.64214285714286,N/A,N/A,0,0,0,-,Yes
19,30/08/2023 12:25:01,Non-Rural,Australian National University,1.59285714285714,6.6,65,1.59285714285714,N/A,N/A,0,0,0,-,Yes
20,30/08/2023 11:21:48,Non-Rural,Deakin University,1.84980857142857,6.967,71.75,1.71278571428571,N/A,N/A,8,0,0,-,
