,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Non-Rural,68,88,78,0,0,0,The University of Western Australia,6.274,Australian National University,6.118,0.0,,0.0,,0.0,,0.0,,0.0,
1,Non-Rural,67,77,78,2,4,4,The University of Western Australia,6.6,The University of Melbourne,55,0.0,,0.0,,0.0,,0.0,,0.0,
2,Non-Rural,67,78,93,0,0,0,The University of Western Australia,6.719,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
3,Non-Rural,53,76,84,0,0,0,The University of Western Australia,6.95,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
4,Non-Rural,54,62,72,0,0,0,The University of Western Australia,7,Griffith University,7,The University of Queensland,7,The University of Melbourne,7,0.0,7,0.0,7,0.0,
5,Non-Rural,75,68,76,0,0,0,The University of Western Australia,6.826,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
6,Non-Rural,67,72,76,2,0,0,The University of Western Australia,6.47,The University of Melbourne,6.47,The University of Notre Dame Sydney,6.46,Deakin University,6.47,0.0,6.46,0.0,,0.0,
7,Non-Rural,59,74,65,0,0,0,The University of Western Australia,6.969,The University of Melbourne,6.969,Deakin University,6.99,0.0,,0.0,,0.0,,0.0,
8,Non-Rural,65,60,71,0,0,0,The University of Western Australia,6.9063,Deakin University,6.9,The University of Melbourne,6.9063,The University of Wollongong,55,0.0,,0.0,,0.0,
9,Rural,77,64,77,8,0,0,The University of Western Australia,6.76,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
10,Non-Rural,63.,62,79,0,0,0,The University of Western Australia,6.97,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
11,Non-Rural,58,72,67,2,0,0,The University of Western Australia,7,The University of Queensland,7,Griffith University,7,The University of Melbourne,7,0.0,7,0.0,7,0.0,
12,Non-Rural,62,75,76,0,0,0,The University of Western Australia,6.41,The University of Melbourne,6.41,Deakin University,6.41,0.0,,0.0,,0.0,,0.0,
13,Rural,61,60,62,8,0,0,The University of Western Australia,5.893,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
14,Non-Rural,70,74,64,0,0,0,The University of Western Australia,6.917,The University of Melbourne,6.913,Deakin University,6.917,Griffith University,6.896,0.0,,0.0,,0.0,
15,Non-Rural,77,72,93,0,0,0,The University of Western Australia,6.2,The University of Notre Dame Fremantle,6.2,0.0,,0.0,,0.0,,0.0,,0.0,
16,Non-Rural,62,68,67,0,2,2,The University of Western Australia,6.95,The University of Melbourne,6.94,0.0,,0.0,,0.0,,0.0,,0.0,
17,Non-Rural,61,65,77,0,0,0,The University of Western Australia,6.854,Griffith University,6.465,Deakin University,6.875,The University of Melbourne,6.875,Australian National University,6.847,The University of Queensland,6.857,0.0,
18,Non-Rural,65,72,65,0,0,0,The University of Western Australia,7,The University of Notre Dame Fremantle,7,0.0,,0.0,,0.0,,0.0,,0.0,
19,Rural,63.,57,62,0,0,0,Australian National University,6.1,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
20,Non-Rural,61,69,63.,2,0,0,0.0,,The University of Wollongong,55,The University of Notre Dame Sydney,6.85,The University of Queensland,6.76,Deakin University,6.89,The University of Notre Dame Fremantle,6.85,Australian National University,6.85
21,Non-Rural,59,68,77,0,0,0,0.0,,Griffith University,6.619,0.0,,0.0,,0.0,,0.0,,0.0,
22,Non-Rural,62,68,82,2,2,2,Australian National University,6.854,The University of Melbourne,6.555,0.0,,0.0,,0.0,,0.0,,0.0,
23,Non-Rural,65,69,57,2,2,2,0.0,,Australian National University,6.792,The University of Notre Dame Sydney,6.792,Griffith University,6.73,Deakin University,6.615,The University of Notre Dame Fremantle,6.792,0.0,
24,Non-Rural,69,63.,75,4,0,0,0.0,,The University of Melbourne,6.413,Deakin University,6.427,Australian National University,6.427,Griffith University,6.396,The University of Western Australia,6.396,0.0,
25,Non-Rural,81,73,71,2,2,2,Deakin University,6.85,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
26,Non-Rural,61,69,76,0,2,2,0.0,,The University of Queensland,6,Australian National University,6,Griffith University,6,0.0,,0.0,,0.0,
27,Non-Rural,60,70,61,0,0,0,0.0,,The University of Notre Dame Sydney,5.912,The University of Wollongong,55,The University of Queensland,52,The University of Melbourne,55,Deakin University,56,The University of Notre Dame Fremantle,59
28,Non-Rural,55,68,65,2,0,0,0.0,,Griffith University,6.958,The University of Melbourne,6.958,Australian National University,6.948,Deakin University,6.948,The University of Notre Dame Sydney,6.948,The University of Notre Dame Fremantle,6.948
29,Non-Rural,68,73,66,0,2,2,Australian National University,6.979,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
30,Rural,62,71,52,6,0,0,Griffith University,6.93,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
31,Non-Rural,65,72,76,0,0,0,0.0,,The University of Melbourne,65,Deakin University,65,The University of Notre Dame Sydney,65,Australian National University,65,The University of Notre Dame Fremantle,65,0.0,
32,Non-Rural,67,74,75,0,0,0,Griffith University,6.65,The University of Wollongong,55,The University of Notre Dame Sydney,6.533,Australian National University,6.533,The University of Queensland,6.388,The University of Melbourne,6.533,0.0,
33,Non-Rural,68,75,70,0,0,0,Australian National University,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
34,Rural,67,68,53,0,0,0,Griffith University,6.813,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
35,Non-Rural,65,67,69,0,0,0,0.0,,The University of Melbourne,6.75,0.0,,0.0,,0.0,,0.0,,0.0,
36,Non-Rural,67,72,80,6,0,0,Deakin University,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
37,Rural,67,62,65,6,2,2,Griffith University,6.375,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
38,Non-Rural,67,62,1,0,0,0,The University of Queensland,6.813,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
39,Rural,66,62,63.,2,0,0,The University of Queensland,6.474,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
40,Rural,68,93,57,2,0,0,The University of Queensland,6.885,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
41,Non-Rural,55,64,69,2,0,0,0.0,,The University of Wollongong,55,The University of Notre Dame Fremantle,6.626,The University of Notre Dame Sydney,6.626,Griffith University,6.533,Deakin University,6.626,0.0,
42,Non-Rural,66,73,81,4,2,2,Deakin University,6.46,0.0,,0.0,,0.0,,0.0,,Deakin University,6.626,0.0,
43,Non-Rural,60,66,78,0,0,0,Griffith University,6.84,Australian National University,684,0.0,,0.0,,0.0,,0.0,,0.0,
44,Non-Rural,68,64,81,0,0,0,The University of Queensland,6.96,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
