,Rurality,University,GPA,GAMSAT,Final Combo Score,Raw Combo Score,Deakin Bonus,ANU Bonus,MQ Bonus (GPA),Notes,
0,Non-Rural,Australian National University,6.65,79,1.7748,1.74,0,2,0,-,
1,Non-Rural,Australian National University,6.823,79.5,1.76971428571429,1.76971428571429,0,0,0,-,
2,Non-Rural,Australian National University,7,72.75,1.76205,1.7275,0,2,0,"i thought my portfolio was average/above average lol, plenty of volunteering over the last 2 years + 2 jobs + honours research",
3,Non-Rural,Australian National University,6.854,73.5,1.74842571428571,1.71414285714286,2,2,0,-,
4,Non-Rural,Australian National University,6.73,74.25,1.73800714285714,1.70392857142857,2,2,0,-,
5,Non-Rural,Australian National University,6.99,73.75,1.73607142857143,1.73607142857143,0,0,0,-,
6,Non-Rural,Australian National University,6.923,70.5,1.72788,1.694,2,2,0,below average portfolio,
7,Non-Rural,Australian National University,6.948,73.5,1.72757142857143,1.72757142857143,0,0,0,-,
8,Non-Rural,Australian National University,6.85,71.5,1.72744285714286,1.69357142857143,2,2,0,-,
9,Non-Rural,Australian National University,6.878,70,1.71622285714286,1.68257142857143,2,2,0,N/A,
10,Non-Rural,Australian National University,6.979,68.25,1.71309,1.6795,0,2,0,-,
11,Non-Rural,Australian National University,6.528,74.25,1.70857285714286,1.67507142857143,0,2,0,-,
12,Non-Rural,Australian National University,7,70.75,1.7075,1.7075,0,0,0,-,
13,Non-Rural,Australian National University,6.979,67.25,1.70289,1.6695,0,2,0,-,
14,Non-Rural,Australian National University,6.698,71.25,1.70274428571429,1.66935714285714,2,2,0,-,
15,Non-Rural,Australian National University,6.604,74.75,1.69092857142857,1.69092857142857,0,0,0,Not sure GPA is correct. Study pattern was a left so only GEMSAS knows what they gave me.,
16,Non-Rural,Australian National University,6.14,75.75,1.66733571428571,1.63464285714286,0,2,0,-,
17,Non-Rural,Deakin University,7,74.75,1.85235,1.7475,6,0,0,-,
18,Non-Rural,Deakin University,6.99,74,1.77334285714286,1.73857142857143,2,0,0,-,
19,Non-Rural,Deakin University,6.573,72.5,1.76384,1.664,6,0,0,Portfolio average.,
20,Non-Rural,Deakin University,6.667,70.25,1.75422428571429,1.65492857142857,6,0,0,-,
21,Non-Rural,Deakin University,6.85,74,1.75294285714286,1.71857142857143,2,2,0,-,
22,Non-Rural,Deakin University,6.76,68.25,1.74710714285714,1.64821428571429,6,0,0,-,
23,Non-Rural,Deakin University,6.46,75.25,1.74237142857143,1.67535714285714,4,2,0,-,
24,Non-Rural,Deakin University,6.615,69.5,1.7384,1.64,6,0,0,-,
25,Non-Rural,Deakin University,6.385,72.5,1.73537142857143,1.63714285714286,6,0,0,-,
26,Non-Rural,Deakin University,6.885,68.25,1.73271428571429,1.66607142857143,4,0,0,-,
27,Non-Rural,Deakin University,6.698,67.25,1.72711857142857,1.62935714285714,6,0,0,-,
28,Non-Rural,Deakin University,7,68.5,1.7187,1.685,2,2,0,-,
29,Non-Rural,Deakin University,6.906,63.25,1.71621571428571,1.61907142857143,6,2,0,-,
30,Non-Rural,Deakin University,6.958,65.5,1.71496,1.649,4,0,0,-,
31,Non-Rural,Deakin University,6.943,68.75,1.71294428571429,1.67935714285714,2,0,0,-,
32,Non-Rural,Deakin University,6.826,67,1.71094857142857,1.64514285714286,4,0,0,-,
33,Non-Rural,Deakin University,6.71,65.5,1.71038571428571,1.61357142857143,6,0,0,-,
34,Non-Rural,Deakin University,6.688,68.75,1.70864571428571,1.64292857142857,4,0,0,Strong portfolio (imo),
35,Non-Rural,Deakin University,6.94,71.5,1.70642857142857,1.70642857142857,0,0,0,-,
36,Non-Rural,Griffith University,7,79.25,1.7925,1.7925,0,0,0,No,
37,Non-Rural,Griffith University,6.953,76.5,1.75828571428571,1.75828571428571,0,0,0,-,
38,Non-Rural,Griffith University,6.92,75.5,1.74357142857143,1.74357142857143,0,0,0,-,
39,Non-Rural,Griffith University,6.917,73.25,1.72064285714286,1.72064285714286,2,0,0,-,
