,Rurality,University,GPA,GAMSAT,Final Combo Score,Raw Combo Score,Deakin Bonus,ANU Bonus,MQ Bonus (GPA),Notes,
0,Non-Rural,Australian National University,6.44,78,1.7,1.7,0,0,0,RMP Applicant,
1,Non-Rural,Australian National University,6.837,71.5,1.69171428571429,1.69171428571429,0,0,0,Average portfolio,
2,Non-Rural,Australian National University,7,69,1.69,1.69,0,0,0,Non-WA resident,
3,Non-Rural,Australian National University,7,68.5,1.685,1.685,0,0,0,-,
4,Non-Rural,Australian National University,6.84,70.5,1.68214285714286,1.68214285714286,0,0,0,-,
5,Non-Rural,Australian National University,6.776,71.25,1.6805,1.6805,4,0,0,"Rural Medical Program applicant (e.g. UQ Wide Bay/Bundaberg RMP,)",
6,Non-Rural,Australian National University,6.448,75.75,1.67864285714286,1.67864285714286,2,0,0,-,
7,Non-Rural,Australian National University,6.847,70,1.67814285714286,1.67814285714286,0,0,0,Non-WA resident,
8,Non-Rural,Australian National University,6.96,68.25,1.71032142857143,1.67678571428571,0,2,0,GAM,
9,Non-Rural,Australian National University,6.917,68.5,1.67314285714286,1.67314285714286,0,0,0,-,
10,Non-Rural,Australian National University,6.6,73,1.67285714285714,1.67285714285714,0,0,0,-,
11,Non-Rural,Australian National University,6.49,74.5,1.67214285714286,1.67214285714286,2,0,0,-,
12,Non-Rural,Australian National University,6.958,67.75,1.6715,1.6715,0,0,0,-,
13,Non-Rural,Australian National University,6.969,67,1.66557142857143,1.66557142857143,2,0,0,-,
14,Non-Rural,Australian National University,6.719,70.5,1.66485714285714,1.66485714285714,0,0,0,-,
15,Non-Rural,Australian National University,6.533,72.75,1.66078571428571,1.66078571428571,0,0,0,portfolio strength (average),
16,Non-Rural,Australian National University,7,66,1.66,1.66,2,0,0,-,
17,Non-Rural,Australian National University,6.927,67,1.65957142857143,1.65957142857143,0,0,0,Thought I had a good portfolio but guess not?,
18,Non-Rural,Australian National University,6.99,66,1.65857142857143,1.65857142857143,2,0,0,-,
19,Non-Rural,Australian National University,6.749,69,1.65414285714286,1.65414285714286,0,0,0,-,
20,Non-Rural,Australian National University,6.118,78,1.654,1.654,0,0,0,Non-WA resident,
21,Non-Rural,Australian National University,6.917,66.5,1.65314285714286,1.65314285714286,4,0,0,-,
22,Non-Rural,Australian National University,6.5,72.25,1.65107142857143,1.65107142857143,0,0,0,-,
23,Non-Rural,Australian National University,6.896,66.5,1.65014285714286,1.65014285714286,0,0,0,GAM,
24,Non-Rural,Australian National University,6.948,65.75,1.65007142857143,1.65007142857143,2,0,0,-,
25,Non-Rural,Australian National University,6.573,71,1.649,1.649,0,0,0,-,
26,Non-Rural,Australian National University,6.931,65.75,1.64764285714286,1.64764285714286,0,0,0,BHMS(A) grad,
27,Non-Rural,Australian National University,6.41,73,1.64571428571429,1.64571428571429,0,0,0,-,
28,Non-Rural,Australian National University,6.743,68,1.67615142857143,1.64328571428571,0,2,0,UQ Wide Bay/Bundaberg RMP,
29,Non-Rural,Australian National University,6.54,70.75,1.64178571428571,1.64178571428571,0,0,0,-,
