,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,Non-Rural,77,70,77,0.0,0.0,0,0,0,The University of Melbourne,6.76,0.0,0,0.0,,0.0,,0.0,,0.0,,0.0,
1,Non-Rural,63,72,69,0.0,4th,0,0,0,Australian National University,6.792,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2,Non-Rural,75,75,77,0.0,4th,0,0,0,Griffith University,6.844,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
3,Non-Rural,64,71,82,0.0,4th,2,2,2,Australian National University,6.609,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
4,Non-Rural,71,68,77,0.0,3rd,0,0,0,The University of Melbourne,6.925,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
5,Non-Rural,67,71,83.,0.0,3rd,0,0,0,The University of Melbourne,6.736,0.0,6.225,0.0,,0.0,,0.0,,0.0,,0.0,
6,Non-Rural,70,81,79,0.0,0.0,0,0,0,Deakin University,6.722,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
7,Non-Rural,56,77,56,0.0,4th,12,12,12,Deakin University,6.552,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
8,Non-Rural,76,74,69,0.0,0.0,0,0,0,The University of Melbourne,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
9,Non-Rural,70,78,84,0.0,0.0,0,0,0,The University of Melbourne,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
10,Rural,57,63,83.,0.0,0.0,10,10,10,Griffith University,6.643,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
11,Non-Rural,65,78,78,0.0,4th,0,0,0,Australian National University,6.896,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
12,Non-Rural,65,83.,65,0.0,0.0,0,0,0,Griffith University,6.844,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
13,Non-Rural,65,64,85,0.0,0.0,0,0,0,The University of Melbourne,6.934,0.0,6.688,0.0,,0.0,,0.0,,0.0,,0.0,
14,Non-Rural,66,66,81,0.0,3rd,4,4,4,Deakin University,6.729,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
