,Timestamp,Rurality,University,Final Combo Score,GPA,GAMSAT,Raw Combo Score,UQ RMP/MP Tier,CASPer Quartile,Deakin Bonus,ANU Bonus,MQ Bonus (GPA),Notes,Outlier?
0,"=SORT(O2:AB, 2, TRUE, 3, TRUE, 4, FALSE)",Non-Rural,Australian National University,1.70121428571429,6.81,69.5,1.66785714285714,N/A,2nd,0,2,0,WA resident,-
1,31/08/2023 09:33:33,Non-Rural,Australian National University,1.68110571428571,6.917,66,1.64814285714286,Tier 3,2nd,2,2,0,-,-
2,30/08/2023 17:35:10,Non-Rural,Australian National University,1.68023142857143,6.736,68.5,1.64728571428571,N/A,2nd,0,2,0,-,-
3,30/08/2023 11:44:30,Non-Rural,Australian National University,1.67892857142857,6.87,69.75,1.67892857142857,Tier 3,N/A,0,0,0,-,-
4,30/08/2023 15:27:29,Non-Rural,Australian National University,1.67814285714286,6.917,69,1.67814285714286,N/A,2nd,2,0,0,Portfolio,-
5,01/09/2023 08:22:32,Non-Rural,Australian National University,1.67428571428571,6.75,71,1.67428571428571,N/A,3rd,2,0,0,-,-
6,03/09/2023 17:59:19,Non-Rural,Australian National University,1.67170714285714,6.87,65.75,1.63892857142857,N/A,3rd,0,2,0,-,Highest R < Min I
7,30/08/2023 16:54:03,Non-Rural,Australian National University,1.67035714285714,6.74,70.75,1.67035714285714,N/A,2nd,0,0,0,-,
8,30/08/2023 14:39:30,Non-Rural,Australian National University,1.67,7,67,1.67,N/A,3rd,0,0,0,-,
9,30/08/2023 15:06:54,Non-Rural,Australian National University,1.6675,6.93,67.75,1.6675,N/A,3rd,2,0,0,GAM,
10,30/08/2023 14:50:42,Non-Rural,Australian National University,1.66614285714286,6.868,68.5,1.66614285714286,Tier 3,4th,2,0,0,-,
11,31/08/2023 22:29:47,Non-Rural,Australian National University,1.66414285714286,6.889,68,1.66414285714286,N/A,N/A,0,0,0,"(your place preference makes no difference to your chances at interview offer, deleted note as irrelivant and may cause confusion -Luke)",
12,30/08/2023 14:44:59,Non-Rural,Australian National University,1.66314285714286,6.392,75,1.66314285714286,N/A,2nd,2,0,0,GAM,
13,30/08/2023 14:11:05,Non-Rural,Australian National University,1.66048714285714,6.688,67.25,1.62792857142857,N/A,4th,2,2,0,-,
14,15/11/2023 19:02:56,Non-Rural,Australian National University,1.65903,6.958,63.25,1.6265,N/A,N/A,4,2,0,-,
15,07/09/2023 14:29:59,Non-Rural,Australian National University,1.65164285714286,6.504,72.25,1.65164285714286,N/A,1st,0,0,0,-,
16,30/08/2023 11:43:38,Non-Rural,Australian National University,1.65142857142857,6.8,68,1.65142857142857,N/A,4th,0,0,0,-,
17,02/09/2023 15:52:18,Non-Rural,Australian National University,1.64963142857143,6.771,65,1.61728571428571,N/A,2nd,0,2,3,-,
18,30/08/2023 12:53:34,Non-Rural,Australian National University,1.64957142857143,6.787,68,1.64957142857143,N/A,1st,0,0,0,-,
19,30/08/2023 15:37:24,Non-Rural,Australian National University,1.64897571428571,6.609,67.25,1.61664285714286,N/A,4th,4,2,0,-,
20,30/08/2023 12:11:00,Non-Rural,Australian National University,1.64771428571429,6.844,67,1.64771428571429,N/A,4th,2,0,0,-,
21,30/08/2023 17:54:16,Non-Rural,Australian National University,1.64578571428571,6.813,67.25,1.64578571428571,N/A,2nd,0,0,3,-,
22,30/08/2023 23:29:50,Non-Rural,Australian National University,1.63942857142857,6.646,69,1.63942857142857,N/A,3rd,0,0,3,B.Clinsci graduate,
23,30/08/2023 16:18:29,Non-Rural,Australian National University,1.63928571428571,6.89,65.5,1.63928571428571,N/A,N/A,2,0,0,-,
24,30/08/2023 14:21:37,Non-Rural,Australian National University,1.63714285714286,6.7,68,1.63714285714286,N/A,2nd,0,0,0,-,
25,18/10/2023 01:00:15,Non-Rural,Australian National University,1.63428571428571,6.19,75,1.63428571428571,N/A,4th,0,0,0,-,
26,31/08/2023 13:40:00,Non-Rural,Australian National University,1.634,6.958,64,1.634,N/A,N/A,0,0,0,-,
27,30/08/2023 15:02:44,Non-Rural,Australian National University,1.63264285714286,6.896,64.75,1.63264285714286,Tier 3,N/A,0,0,0,-,
