,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,Non-Rural,58,75,93,0.0,,The University of Melbourne,6.143,The University of Queensland (Greater Brisbane),6,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
1,Non-Rural,71,79,57,The University of Notre Dame Sydney,6.635,,,,,,,,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,0
2,Non-Rural,66,72,71,Griffith University,6.741,The University of Melbourne,6.557,,,,,,,0.0,,0.0,,3rd,0,0.0,Yes,0.0,0.0,0.0,0
3,Non-Rural,60,60,84,Griffith University,6.906,,,,,,,,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
4,Non-Rural,57,74,64,Macquarie University,7,,,,,,,,,0.0,,0.0,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
5,Non-Rural,58,64,59,,,The University of Notre Dame Sydney,6.35,The University of Melbourne,6.3,Deakin University,6.35,The University of Notre Dame Fremantle,6.35,0.0,,0.0,,2nd,4,Did not apply,Yes,0.0,0.0,0.0,0
6,Non-Rural,66,81,63,Griffith University,6.99,,,,,,,,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
7,Non-Rural,59,68,81,The University of Notre Dame Sydney,6.854,,,,,,,,,0.0,,0.0,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
8,Non-Rural,60,68,84,Deakin University,65,,,,,,,,,0.0,,0.0,,2nd,4,Did not apply,0.0,0.0,0.0,0.0,0
9,No   ural,60,64,77,The University of Queensland (RMP/DDMP),7,,,,,,,,,0.0,,0.0,,Ast,0,0.0,0.0,0.0,Tier 3,Toowoomba,0
10,Non-Rural,69,63,87,The University of Notre Dame Sydney,6.618,,,,,,,,,0.0,,0.0,,2nd,0,0.0,0.0,0.0,0.0,0.0,0
11,Non-Rural,70,78,96,Griffith University,6.655,,,,,,,,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
12,Non-Rural,62,62,75,The University of Queensland (RMP/DDMP),6.92,,,,,,,,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,Tier 3,Toowoomba,0
13,Non-Rural,70,63,57,0.0,,of Queensland (Greater Brisbane),6.54,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
14,Non-Rural,57,68,55,0.0,,The University of Wollongong,6.2,0.0,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,1
15,Non-Rural,55,73,75,The University of Notre Dame Sydney,6.8,,,,,,,,,,,,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
