,Timestamp,Rurality,University,Final Combo,GPA,GAMSAT,Raw Combo,CASPer Quartile,ANU Bonuses,Deakin Bonus,MQ Bonus,Deakin RTS Tier,Unimelb GAM,UNDF Bonuses,UNDS Bonuses,UQ MP/RMP Tier + Location,UoW Bonuses,Notes,Outlier
0,"=SORT(V2:AO, 2, TRUE, 3, TRUE, 4, FALSE,18,FALSE)",Non-Rural,Australian National University,1.69142857142857,6.31,79,1.69142857142857,N/A,0,0,0,,No,,,,,0,
1,30/08/2024 12:29:57,Non-Rural,Australian National University,1.68183428571429,6.607,70.5,1.64885714285714,4th,2,0,0,,,,None,,,0,
2,30/08/2024 13:36:13,Non-Rural,Australian National University,1.678512,6.917,65.75,1.6456,2nd,2,0,0,Did not apply,Yes,,None,,,0,
3,09/09/2024 18:19:12,Non-Rural,Australian National University,1.6729,6.95,68,1.6729,1st,0,0,0,Did not apply,No,,,,,0,
4,30/08/2024 22:10:18,Non-Rural,Australian National University,1.67142857142857,6.87,69,1.67142857142857,2nd,0,0,0,,No,,,,,0,
5,30/08/2024 13:03:31,Non-Rural,Australian National University,1.6675,6.51,73.75,1.6675,3rd,0,0,0,,,,None,,,0,
6,30/08/2024 12:08:44,Non-Rural,Australian National University,1.6661,6.833,69,1.6661,N/A,0,2,0,Did not apply,No,,,,,0,
7,19/09/2024 01:47:15,Non-Rural,Australian National University,1.6646,6.735,70.25,1.6646,2nd,0,2,0,Did not apply,No,,,,,0,
8,30/08/2024 13:50:10,Non-Rural,Australian National University,1.661478,6.625,68.25,1.6289,N/A,2,0,0,Did not apply,No,,,,,0,
9,30/08/2024 17:01:46,Non-Rural,Australian National University,1.6586,6.85,68,1.6586,3rd,0,6,0,Did not apply,No,,None,,,0,
10,30/08/2024 12:18:49,Non-Rural,Australian National University,1.6543,6.75,69,1.6543,4th,0,0,0,,No,,None,,,1,
11,30/08/2024 12:00:36,Non-Rural,Australian National University,1.6471,6.927,65.75,1.6471,N/A,0,2,0,Did not apply,Yes,,,,,0,GAM (financial disadvantage + personal difficulties)
12,30/08/2024 13:00:58,Non-Rural,Australian National University,1.64357142857143,6.99,64.5,1.64357142857143,N/A,0,0,0,,,,,Tier 3,Rockhampton,0,no
13,31/08/2024 10:46:30,Non-Rural,Australian National University,1.64,7,64,1.64,N/A,0,0,0,Did not apply,No,,,,,0,
14,30/08/2024 11:39:55,Non-Rural,Australian National University,1.638324,5.486,82.25,1.6062,4th,2,4,0,Did not apply,,None,None,,,4,
15,30/08/2024 15:47:58,Non-Rural,Australian National University,1.6373,6.771,67,1.6373,4th,0,0,0,Did not apply,Yes,,,Tier 3,Rockhampton,0,"GAM, Centrelink, family circumstances first year, currently completing honours"
16,30/08/2024 20:27:17,Non-Rural,Australian National University,1.6336,6.885,65,1.6336,4th,0,0,0,,,,None,,,1,
17,30/08/2024 14:43:58,Non-Rural,Australian National University,1.63278571428571,6.932,64.25,1.63278571428571,N/A,0,0,0,,,,,,,0,
18,30/08/2024 12:34:06,Non-Rural,Australian National University,1.631082,6.854,62,1.5991,4th,2,0,0,Did not apply,,None,None,,,0,My GPA is really hard to calculate so not sure
19,30/08/2024 18:48:00,Non-Rural,Australian National University,1.6257,6.9,64,1.6257,3rd,0,0,0,,,None,None,,,1,
20,30/08/2024 14:15:16,Non-Rural,Australian National University,1.62435,6.3,69.25,1.5925,N/A,2,0,0,Did not apply,No,,,,,0,
21,30/08/2024 12:09:59,Non-Rural,Australian National University,1.6182,6.655,66.75,1.6182,4th,0,0,0,,,,None,,,0,
22,30/08/2024 13:41:06,Non-Rural,Australian National University,1.6139,6.45,69.25,1.6139,2nd,0,0,0,,,None,None,,,1,
