Timestamp	Rurality	S1	S2	S3	UW GAMSAT	W GAMSAT	Outlier	Interviewing Uni	GPA	GAMSAT	1st Preference Uni	GPA	GAMSAT	2nd Preference Uni	GPA	GAMSAT	3rd Preference Uni	GPA	GAMSAT	4th Preference Uni	GPA	GAMSAT	5th Preference Uni	GPA	GAMSAT	6th Preference Uni	GPA	GAMSAT	CASPer Quartile	ANU Bonuses	Deakin Bonus	MQ Bonus	Deakin RTS Tier	Unimelb GAM	UNDF Bonuses	UNDS Bonuses	UQ MP/RMP Tier + Location	UoW Bonuses	Notes
30/08/2024 11:25:31	Non-Rural	58	75	93	75.33	79.75					The University of Melbourne	6.143	75.33	The University of Queensland (Greater Brisbane)	6	75.33													N/A	0	0	0		No					0	
30/08/2024 11:25:55	Non-Rural	71	79	57	69	66		The University of Notre Dame Sydney	6.635	69																			4th	0	0	0				None			0	
30/08/2024 11:26:07	Non-Rural	66	72	71	69.67	70		Griffith University	6.741	70	The University of Melbourne	6.557	69.67																3rd	0	0	0		Yes					0	
30/08/2024 11:26:21	Non-Rural	60	60	84	68	72		Griffith University	6.906	72																			N/A	0	0	0							0	
30/08/2024 11:26:32	Non-Rural	57	74	64	65	64.75		Macquarie University	7	64.75																			3rd	0	0	0							0	
30/08/2024 11:26:57	Non-Rural	58	64	59	60.33	60					The University of Notre Dame Sydney	6.35	60.33	The University of Melbourne	6.3	60.33	Deakin University	6.35	60	The University of Notre Dame Fremantle	6.35	60.33							2nd	0	4	0	Did not apply	Yes	None	None			0	
30/08/2024 11:27:01	Non-Rural	66	81	63	70	68.25		Griffith University	6.99	68.25																			N/A	0	0	0							0	thanks for the help r/gamsat! (no worries! -Luke)
30/08/2024 11:27:35	Non-Rural	59	68	81	69.33	72.25		The University of Notre Dame Sydney	6.854	69.33																			3rd	0	0	0				None			0	
30/08/2024 11:27:35	Non-Rural	60	68	84	70.67	74		Deakin University	6.5	74																			2nd	0	4	0	Did not apply						0	
30/08/2024 11:28:02	Non-Rural	60	64	77	67	69.5		The University of Queensland (RMP/DDMP)	7	67																			1st	0	0	0					Tier 3	Toowoomba	0	
30/08/2024 11:28:05	Non-Rural	69	63	87	73	76.5		The University of Notre Dame Sydney	6.618	73																			2nd	0	0	0				None			0	
30/08/2024 11:28:31	Non-Rural	70	78	96	81.33	85		Griffith University	6.655	85																			N/A	0	0	0							0	
30/08/2024 11:28:41	Non-Rural	62	62	75	66.33	68.5		The University of Queensland (RMP/DDMP)	6.92	66.33																			N/A	0	0	0					Tier 3	Toowoomba	0	
30/08/2024 11:28:42	Non-Rural	70	63	57	63.33	61.75					The University of Queensland (Greater Brisbane)	6.54	63.33																N/A	0	0	0							0	
30/08/2024 11:28:45	Non-Rural	57	68	55	60	58.75					The University of Wollongong	6.2	58.75																4th	0	0	0							1	N/A
30/08/2024 11:28:51	Non-Rural	55	73	75	67.67	69.5		The University of Notre Dame Sydney	6.8	67.67																			3rd	0	0	0				None			0	
