Timestamp	Rurality	MMI Prep (hrs)	MMI Opinion	Offering Uni	Place Type	GPA	GAMSAT	Preference	Interviewing Uni	GPA	GAMSAT	Preference	Other Rejections	Places?	GEMSAS vs Other?	Status	Notes	UQ MP/RMP Tier	CASPer Quartile	Deakin Bonus	ANU Bonus	MQ Bonus (GPA)	UW GAMSAT	W GAMSAT	S1 Score	S2 Score	S3 Score
30/10/2023 11:45:01	Non-Rural	0-5	Poorly						Griffith University	6.79	71	1	Deakin, UniMelb, UNDS, UoW	CSP, BMP			Didn’t prepare as already had other offer	N/A	2nd	4	0	0	72.33	71	79	71	67
30/10/2023 11:45:09	Non-Rural	250+	Very well						Macquarie University	6.43	73	3	Deakin, UWA, UoW	CSP, BMP, FFP				N/A	3rd	0	0	0	71.33	73	67	69	78
30/10/2023 11:46:59	Non-Rural	11-25	Very well	Macquarie University	FFP	6.646	69.25	3						CSP, BMP, FFP	Unsure			N/A	N/A	0	0	3	69.33	69.25	65	74	69
30/10/2023 11:47:22	Non-Rural	11-25	Poorly	Griffith University	CSP	7	70	2	The University of Queensland (Greater Brisbane)	7	70	1	N/A	CSP	Unsure			N/A	4th	0	0	0	70	70	65	75	70
30/10/2023 11:47:43	Non-Rural	11-25	Unsure						Deakin University	6.552	61.25	1	ANU, Griffith, UniMelb, UNDF, UNDS	CSP, BMP				N/A	4th	12	4	0	63	61.25	56	77	56
30/10/2023 11:49:17	Non-Rural	51-100	Very well						Macquarie University	6.99	69	1	ANU, UNDF, UNDS, UQ, UoW	BMP, FFP				N/A	2nd	0	0	0	68.67	69	68	68	70
30/10/2023 11:49:46	Rural	26-50	Unsure						The University of Melbourne	6.756	55	1	Deakin, Griffith, MQ, UQ, UWA	CSP, BMP, FFP				N/A	N/A	0	0	0	55	54	54	60	51
30/10/2023 11:53:22	Non-Rural	26-50	Well	Macquarie University	FFP	6.917	65.75	4	The University of Notre Dame Sydney	6.667	67	2	ANU, MQ, UNDF, UQ	CSP, BMP, FFP	Yes			Tier 3	4th	6	2	0	67	65.75	63	76	62
30/10/2023 11:53:38	Non-Rural	26-50	Well						The University of Melbourne	6.97	69.67	1	ANU, Deakin	CSP, BMP			GAM	N/A	N/A	0	0	0	69.67	69.75	74	65	70
30/10/2023 11:54:06	Non-Rural	26-50	Unsure						The University of Notre Dame Sydney	6.917	72.67	1	ANU, Deakin, UniMelb, UQ, UoW	CSP, BMP				N/A	3rd	0	2	0	72.67	72	63	85	70
30/10/2023 11:54:39	Non-Rural	11-25	Poorly	Deakin University	CSP	6.458	69.5	1						CSP, BMP	Yes			N/A	N/A	8	0	0	68.33	69.5	57	75	73
30/10/2023 11:56:23	Rural	26-50	Well	Griffith University	BMP	6.9	61	1						CSP, BMP	Unsure			N/A	2nd	10	0	0	60.33	61	56	62	63
30/10/2023 11:56:45	Non-Rural	0-5	Unsure						The University of Wollongong	5.5	71.75	1	ANU, Griffith, UniMelb, UNDS, UQ	CSP				N/A	4th	0	2	0	70.67	71.75	63	74	75
30/10/2023 11:56:46	Rural	11-25	Well	The University of Queensland (DD MP)	BMP	6.53	57	1						CSP, BMP	Yes			Tier 1 (DD RMP)	N/A	10	0	0	57	57.25	54	59	58
30/10/2023 11:56:50	Non-Rural	26-50	Unsure	The University of Notre Dame Sydney	FFP	6.75	65.67	6						CSP, BMP, FFP	Unsure			N/A	4th	2	0	0	65.67	64.5	59	77	61
