,Timestamp,Rurality,GAMSAT S1 Score,GAMSAT S2 Score,GAMSAT S3 Score,UW GAMSAT,W GAMSAT,Deakin Bonus,ANU Bonus,MQ Bonus (GPA),Notes,Interview?,Interviewing Uni,GPA,GAMSAT,1st Pref Uni,GPA,GAMSAT,2nd Pref Uni,GPA,GAMSAT,3rd Pref Uni,GPA,GAMSAT,4th Pref Uni,GPA,GAMSAT,5th Pref Uni,GPA,GAMSAT,6th Pref Uni,GPA,GAMSAT,"Duplicates?
"
0,8/30/2022 18:18:49,Non-Rural,68,88,78,78,78,0,0,0,Non-WA resident,Yes,The University of Western Australia,6.274,78,Australian National University,6.118,78,,,,,,,,,,,,,,,,"FALSE
"
1,8/30/2022 18:53:15,Non-Rural,67,77,78,74,75,2,4,0,"WA Resident, Masters by Coursework and Research complete",Yes,The University of Western Australia,6.6,75,The University of Melbourne,5.5,74,,,,,,,,,,,,,,,,"FALSE
"
2,8/30/2022 18:53:52,Non-Rural,67,78,93,79.33333333,82.75,0,0,0,,Yes,The University of Western Australia,6.719,82.75,,,,,,,,,,,,,,,,,,,"FALSE
"
3,8/30/2022 20:09:20,Non-Rural,53,76,84,71,74.25,0,0,0,,Yes,The University of Western Australia,6.95,74.25,,,,,,,,,,,,,,,,,,,"FALSE
"
4,8/30/2022 20:46:38,Non-Rural,54,62,72,62.66666667,65,0,0,0,,Yes,The University of Western Australia,7,65,Griffith University,7,65,The University of Queensland,7,62.66666667,The University of Melbourne,7,62.66666667,The University of Notre Dame Sydney,7,62.66666667,Deakin University,7,65,,,,"FALSE
"
5,8/30/2022 20:55:29,Non-Rural,75,68,76,73,73.75,0,0,0,,Yes,The University of Western Australia,6.826,73.75,,,,,,,,,,,,,,,,,,,"FALSE
"
6,8/30/2022 20:59:07,Non-Rural,67,72,76,71.66666667,72.75,2,0,0,,Yes,The University of Western Australia,6.47,72.75,The University of Melbourne,6.47,71.66666667,The University of Notre Dame Sydney,6.46,71.66666667,Deakin University,6.47,72.75,The University of Notre Dame Fremantle,6.46,71.66666667,,,,,,,"FALSE
"
7,8/30/2022 22:12:24,Non-Rural,59,74,65,66,65.75,0,0,0,,Yes,The University of Western Australia,6.969,65.75,The University of Melbourne,6.969,66,Deakin University,6.99,65.75,,,,,,,,,,,,,"FALSE
"
8,8/30/2022 22:32:22,Non-Rural,65,60,71,65.33333333,66.75,0,0,0,,Yes,The University of Western Australia,6.9063,66.75,Deakin University,6.9,66.75,The University of Melbourne,6.9063,65.33333333,The University of Wollongong,5.5,66.75,,,,,,,,,,"FALSE
"
9,8/30/2022 22:43:45,Rural,77,64,77,72.66666667,73.75,8,0,0,WA resident,Yes,The University of Western Australia,6.76,73.75,,,,,,,,,,,,,,,,,,,"FALSE
"
10,8/30/2022 23:50:34,Non-Rural,63,62,79,68,70.75,0,0,0,WA resident,Yes,The University of Western Australia,6.97,70.75,,,,,,,,,,,,,,,,,,,"FALSE
"
11,8/31/2022 0:28:49,Non-Rural,58,72,67,65.66666667,66,2,0,0,,Yes,The University of Western Australia,7,66,The University of Queensland,7,65.66666667,Griffith University,7,66,The University of Melbourne,7,65.66666667,Deakin University,7,66,Australian National University,7,66,,,,"FALSE
"
12,8/31/2022 1:31:25,Non-Rural,62,75,76,71,72.25,0,0,0,,Yes,The University of Western Australia,6.41,72.25,The University of Melbourne,6.41,71,Deakin University,6.41,72.25,,,,,,,,,,,,,"FALSE
"
13,8/31/2022 7:51:27,Rural,61,60,62,61,61.25,8,0,5,WA resident,Yes,The University of Western Australia,5.893,61.25,,,,,,,,,,,,,,,,,,,"FALSE
"
14,8/31/2022 9:43:15,Non-Rural,70,74,64,69.33333333,68,0,0,0,,Yes,The University of Western Australia,6.917,68,The University of Melbourne,6.913,69.33333333,Deakin University,6.917,68,Griffith University,6.896,68,,,,,,,,,,"FALSE
"
15,8/31/2022 9:45:48,Non-Rural,77,72,93,80.66666667,83.75,0,0,0,,Yes,The University of Western Australia,6.2,83.75,The University of Notre Dame Fremantle,6.2,80.66666667,,,,,,,,,,,,,,,,"FALSE
"
16,8/31/2022 11:03:44,Non-Rural,62,68,67,65.66666667,66,0,2,0,,Yes,The University of Western Australia,6.95,66,The University of Melbourne,6.94,65.66666667,,,,,,,,,,,,,,,,"FALSE
"
17,8/31/2022 11:06:10,Non-Rural,61,65,77,67.66666667,70,0,0,0,Non-WA resident,Yes,The University of Western Australia,6.854,70,Griffith University,6.465,70,Deakin University,6.875,70,The University of Melbourne,6.875,67.66666667,Australian National University,6.847,70,The University of Queensland,6.857,67.66666667,,,,"FALSE
"
18,8/31/2022 11:09:30,Non-Rural,65,72,65,67.33333333,66.75,0,0,0,WA resident,Yes,The University of Western Australia,7,66.75,The University of Notre Dame Fremantle,7,67.33333333,,,,,,,,,,,,,,,,"FALSE
"
19,8/31/2022 11:12:59,Rural,63,57,62,60.66666667,61,0,0,0,,Yes,Australian National University,6.1,61,,,,,,,,,,,,,,,,,,,"FALSE
"
20,8/31/2022 11:15:34,Non-Rural,61,69,63,64.33333333,64,2,0,0,,No,,,,The University of Wollongong,5.5,64,The University of Notre Dame Sydney,6.85,64.33333333,The University of Queensland,6.76,64.33333333,Deakin University,6.89,64,The University of Notre Dame Fremantle,6.85,64.33333333,Australian National University,6.85,64,"
"
21,8/31/2022 11:15:35,Non-Rural,59,68,77,68,70.25,0,0,0,,No,,,,Griffith University,6.619,70.25,,,,,,,,,,,,,,,,"
"
22,8/31/2022 11:18:43,Non-Rural,62,68,82,70.66666667,73.5,2,2,0,,Yes,Australian National University,6.854,73.5,The University of Melbourne,6.555,70.66666667,,,,,,,,,,,,,,,,"FALSE
"
23,8/31/2022 11:19:03,Non-Rural,65,69,57,63.66666667,62,2,2,0,Above average portfolio,No,,,,Australian National University,6.792,62,The University of Notre Dame Sydney,6.792,63.66666667,Griffith University,6.73,62,Deakin University,6.615,62,The University of Notre Dame Fremantle,6.792,63.66666667,,,,"
"
24,8/31/2022 11:19:56,Non-Rural,69,63,75,69,70.5,4,0,0,,No,,,,The University of Melbourne,6.413,69,Deakin University,6.427,70.5,Australian National University,6.427,70.5,Griffith University,6.396,70.5,The University of Western Australia,6.396,70.5,,,,"
"
25,8/31/2022 11:19:58,Non-Rural,81,73,71,75,74,2,2,0,,Yes,Deakin University,6.85,74,,,,,,,,,,,,,,,,,,,"FALSE
"
26,8/31/2022 11:20:57,Non-Rural,61,69,76,68.66666667,70.5,0,2,0,,No,,,,The University of Queensland,6,68.66666667,Australian National University,6,70.5,Griffith University,6,70.5,,,,,,,,,,"
"
27,8/31/2022 11:21:40,Non-Rural,60,70,61,63.66666667,63,0,0,0,,No,,,,The University of Notre Dame Sydney,5.912,63.66666667,The University of Wollongong,5.5,63,The University of Queensland,5.2,63.66666667,The University of Melbourne,5.5,63.66666667,Deakin University,5.6,63,The University of Notre Dame Fremantle,5.9,63.66666667,"
"
28,8/31/2022 11:23:45,Non-Rural,55,68,65,62.66666667,63.25,2,0,0,average portfolio,No,,,,Griffith University,6.958,63.25,The University of Melbourne,6.958,62.66666667,Australian National University,6.948,63.25,Deakin University,6.948,63.25,The University of Notre Dame Sydney,6.948,62.66666667,The University of Notre Dame Fremantle,6.948,62.66666667,"
"
29,8/31/2022 11:25:43,Non-Rural,68,73,66,69,68.25,0,2,0,,Yes,Australian National University,6.979,68.25,,,,,,,,,,,,,,,,,,,"FALSE
"
30,8/31/2022 11:26:04,Rural,62,71,52,61.66666667,59.25,6,0,0,GAM,Yes,Griffith University,6.93,59.25,,,,,,,,,,,,,,,,,,,"FALSE
"
31,8/31/2022 11:27:03,Non-Rural,65,72,76,71,72.25,0,0,0,,No,,,,The University of Melbourne,6.5,71,Deakin University,6.5,72.25,The University of Notre Dame Sydney,6.5,71,Australian National University,6.5,72.25,The University of Notre Dame Fremantle,6.5,71,,,,"
"
32,8/31/2022 11:27:20,Non-Rural,67,74,75,72,72.75,0,0,0,portfolio strength (average),Yes,Griffith University,6.65,72.75,The University of Wollongong,5.5,72.75,The University of Notre Dame Sydney,6.533,72,Australian National University,6.533,72.75,The University of Queensland,6.388,72,The University of Melbourne,6.533,72,,,,"FALSE
"
33,8/31/2022 11:27:29,Non-Rural,68,75,70,71,70.75,0,0,0,,Yes,Australian National University,7,70.75,,,,,,,,,,,,,,,,,,,"FALSE
"
34,8/31/2022 11:28:49,Rural,67,68,53,62.66666667,60.25,0,0,0,,Yes,Griffith University,6.813,60.25,,,,,,,,,,,,,,,,,,,"FALSE
"
35,8/31/2022 11:28:51,Non-Rural,65,67,69,67,67.5,0,0,0,"GAM, Average portfolio",No,,,,The University of Melbourne,6.75,67,,,,,,,,,,,,,,,,"
"
36,8/31/2022 11:29:02,Non-Rural,67,72,80,73,74.75,6,0,0,,Yes,Deakin University,7,74.75,,,,,,,,,,,,,,,,,,,"FALSE
"
37,8/31/2022 11:29:48,Rural,67,62,65,64.66666667,64.75,6,2,0,,Yes,Griffith University,6.375,64.75,,,,,,,,,,,,,,,,,,,"FALSE
"
38,8/31/2022 11:30:30,Non-Rural,67,62,91,73.33333333,77.75,0,0,0,,Yes,The University of Queensland,6.813,73.33333333,,,,,,,,,,,,,,,,,,,"FALSE
"
39,8/31/2022 11:31:14,Rural,66,62,63,63.66666667,63.5,2,0,0,Central Queensland-Wide bay region MMI,Yes,The University of Queensland,6.474,63.66666667,,,,,,,,,,,,,,,,,,,"FALSE
"
40,8/31/2022 11:31:26,Rural,68,93,57,72.66666667,68.75,2,0,0,,Yes,The University of Queensland,6.885,72.66666667,,,,,,,,,,,,,,,,,,,"FALSE
"
41,8/31/2022 11:31:35,Non-Rural,55,64,69,62.66666667,64.25,2,0,0,I assumed my portfolio was good to at least get an interview offer.,No,,,,The University of Wollongong,5.5,64.25,The University of Notre Dame Fremantle,6.626,62.66666667,The University of Notre Dame Sydney,6.626,62.66666667,Griffith University,6.533,64.25,Deakin University,6.626,64.25,,,,"
"
42,8/31/2022 11:31:46,Non-Rural,66,73,81,73.33333333,75.25,4,2,0,,Yes,Deakin University,6.46,75.25,,,,,,,,,,,,,,,,,,,"FALSE
"
43,8/31/2022 11:31:55,Non-Rural,60,66,78,68,70.5,0,0,0,,Yes,Griffith University,6.84,70.5,Australian National University,6.84,70.5,,,,,,,,,,,,,,,,"FALSE
"
44,8/31/2022 11:31:56,Non-Rural,68,64,81,71,73.5,0,0,0,,Yes,The University of Queensland,6.96,71,,,,,,,,,,,,,,,,,,,"FALSE
"
