THIS FORM IS ONLY FOR:,Year of graduation:,I received an offer from:,Do you have a prior qualification with the same university?:,Preference number of the above university (1st ... 6th):,What was your first preference?:,I interviewed at:,Offer Type (please change):,GPA (as calculated by the university making the offer):,Weighted Average Mark (Monash only):,GAMSAT Section 1 score:,GAMSAT Section 2 score:,GAMSAT Section 3 score:,Overall GAMSAT (as calculated by the university making the offer):,MCAT 8/8/M/8 or other score:,Score type:,Undergraduate degree:,Residency status in Australia:,Highest post graduate qualification?:,Rural candidate?:,Deakin University bonus (total %):,Flinders University candidates only:,Flinders University NT Medical Program (NTMP) applicant?:,University of Melbourne Graduate Access applicant?:,What kind of doctor I want to be when I grow up:
Medical Student,2025,University of Sydney,No,1,Griffith University,University of Sydney,FFP,5.96,-,56,63,76,65,,GAMSAT,Biomed,Local,None,Yes,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Sydney,No,2,University of Notre Dame Sydney,University of Sydney,BMP,6.68,-,61,75,49,81,,GAMSAT,BBiotech(Hons),Local,PhD,Yes,0,Non-Flinders degree holder,No,No,FRACP: Cardiology
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,CSP,6.8,-,81,73,71,75,,GAMSAT,BSc/Ba,Local,Honours,No,0,Non-Flinders degree holder,No,No,FACRRM: Rural and Remote Medicine (General Practice)
Medical Student,2025,University of Sydney,Yes,1,University of Sydney,University of Sydney,CSP,4.77,-,69,62,56,N/A,,GAMSAT,BA,Local,None,Yes,0,Non-Flinders degree holder,No,No,FRANCZP: Psychiatry
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,CSP,5.29,-,71,85,67,72,,GAMSAT,Bachelor of Science,Local,Honours,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,CSP,6.5,-,69,89,69,74,,GAMSAT,Bachelor of Medical Science,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Sydney,No,3,University of Queensland,University of Sydney,BMP,5.23,-,67,65,63,65,,GAMSAT,Biomedical Science,Local,None,Yes,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,BMP,6.83,-,61,57,78,69,,GAMSAT,Bachelor of Medical Science,Local,None,Yes,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Sydney,No,3,University of Melbourne,University of Sydney,CSP,7,N/A,71,61,97,N/A,,GAMSAT,Biomedical science,Local,None,No,2,Non-Flinders degree holder,No,No,FRACS: Cardio-thoracic Surgery
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,CSP,6.67,-,75,78,85,N/A,,GAMSAT,BSc,Local,Masters (coursework),No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
