,rurality,s1 score,s2 score,s3 score,uw gamsat,w gamsat,offer uni,offer uni gpa,offer uni gamsat,offer uni place type,offer uni preference,interviewed?,interview uni,interview uni gpa,interview uni gamsat,places selected,interview uni preference,deakin bonus,anu bonus,mq bonus (gpa),casper quartile,uq rmp tier,gemsas over other?,interview opinion,notes,year,interview prep hours,other rejections,marker,interview opinion discrete,interview prep hours discrete
0,Non-Rural,66,74,69,69.66666667,69.5,Deakin University,5.693,69.5,CSP,4.0,No,The University of Wollongong,5.5,69.5,"['CSP', 'BMP', 'FFP']",1.0,2,2,0,4th,Tier 3,Yes,Very well,"
",2022,,,CSP,5,
1,Non-Rural,57,66,99,74.0,80.25,Deakin University,6.56,80.25,CSP,1.0,Yes,,,,,,0,0,0,,Tier 3,Yes,Unsure,"
",2022,,,CSP,3,
2,Non-Rural,74,83,80,79.0,79.25,,,,,,,The University of Notre Dame Sydney,5.383,79.0,"['CSP', 'BMP', 'FFP']",5.0,2,2,0,,,,Well,"
",2022,,,"['CSP', 'BMP', 'FFP']",4,
3,Non-Rural,62,68,74,68.0,69.5,,,,,,,Australian National University,6.85,69.5,"['CSP', 'BMP']",1.0,2,2,0,,,,Poorly,"
",2022,,,"['CSP', 'BMP']",2,
4,Non-Rural,79,76,76,77.0,76.75,,,,,,,The University of Melbourne,6.1,77.0,"['CSP', 'BMP']",5.0,0,0,0,,,,Well,"
",2022,,,"['CSP', 'BMP']",4,
5,Non-Rural,74,74,69,72.33333333,71.5,,,,,,,The University of Queensland (Metro),7.0,72.33333333,"['CSP', 'BMP']",1.0,0,2,0,,,,Unsure,"
",2022,,,"['CSP', 'BMP']",3,
6,Non-Rural,64,69,91,74.66666667,78.75,,,,,,,The University of Queensland (Metro),6.42,74.66666667,['CSP'],2.0,0,0,0,,,,Unsure,"
",2022,,,['CSP'],3,
7,Non-Rural,67,75,74,72.0,72.5,Deakin University,6.385,72.5,CSP,2.0,Yes,,,,,,6,0,0,,,No,Well,"
",2022,,,CSP,4,
8,Non-Rural,82,72,71,75.0,74.0,,,,,,,Deakin University,6.99,74.0,"['CSP', 'BMP']",1.0,2,2,0,,,,Unsure,"
",2022,,,"['CSP', 'BMP']",3,
9,Non-Rural,64,81,72,72.33333333,72.25,,,,,,,The University of Notre Dame Sydney,7.0,72.33333333,"['CSP', 'BMP']",1.0,0,0,0,,,,Well,"felt like i had a good portfolio
",2022,,,"['CSP', 'BMP']",4,
10,Non-Rural,64,66,65,65.0,65.0,,,,,,,Griffith University,6.743,65.0,"['CSP', 'BMP', 'FFP']",1.0,0,0,0,,,,Unsure,"
",2022,,,"['CSP', 'BMP', 'FFP']",3,
11,Non-Rural,65,79,62,68.66666667,67.0,,,,,,,The University of Melbourne,6.963,68.66666667,"['CSP', 'BMP']",4.0,0,0,0,,,,Well,"
",2022,,,"['CSP', 'BMP']",4,
12,Rural,72,64,63,66.33333333,65.5,Deakin University,6.92,65.5,CSP,1.0,Yes,,,,,,8,0,0,,,No,Well,"
",2022,,,CSP,4,
13,Rural,68,76,62,68.66666667,67.0,The University of Queensland (RMP),5.9,68.66666667,CSP,1.0,Yes,,,,,,6,0,3,4th,Tier 2,Yes,Well,"
",2022,,,CSP,4,
14,Non-Rural,65,60,85,70.0,73.75,Deakin University,6.95,73.75,BMP,3.0,No,Australian National University,6.95,73.75,"['CSP', 'BMP']",1.0,0,0,0,,,No,Unsure,"
",2022,,,BMP,3,
15,Non-Rural,65,81,65,70.33333333,69.0,Griffith University,6.885,69.0,CSP,1.0,Yes,,,,,,0,0,0,,,Yes,Well,"
",2022,,,CSP,4,
16,Non-Rural,60,67,70,65.66666667,66.75,,,,,,,The University of Western Australia,7.0,66.75,['CSP'],4.0,0,0,0,,,,Well,"
",2022,,,['CSP'],4,
17,Non-Rural,60,74,72,68.66666667,69.5,Deakin University,6.917,69.5,CSP,4.0,Yes,,,,,,2,0,0,,,Unsure,Well,"
",2022,,,CSP,4,
18,Non-Rural,64,73,74,70.33333333,71.25,Deakin University,6.578,71.25,CSP,3.0,No,The University of Queensland (Metro),7.0,70.33333333,"['CSP', 'BMP', 'FFP']",2.0,4,0,0,,Tier 3,Unsure,Very well,"
",2022,,,CSP,5,
19,Rural,66,62,63,63.66666667,63.5,The University of Queensland (RMP),6.47,63.66666667,BMP,1.0,Yes,,,,,,2,0,0,4th,Tier 2,Yes,Unsure,"uq rural pathway
",2022,,,BMP,3,
20,Rural,55,71,66,64.0,64.5,Deakin University,6.35,64.5,BMP,1.0,Yes,,,,,,10,2,0,,,Unsure,Very poorly,"rts tier 1 applicant
",2022,,,BMP,1,
21,Non-Rural,58,71,77,68.66666667,70.75,Griffith University,6.57,70.75,CSP,5.0,Yes,,,,,,0,0,0,,,Yes,Very well,"
",2022,,,CSP,5,
