,rurality,s1 score,s2 score,s3 score,deakin bonus,anu bonus,mq bonus,notes,interview?,interview uni,interview uni gpa,interview uni gamsat,pref 1 uni,pref 1 gpa,pref 1 gamsat,pref 2 uni,pref 2 gpa,pref 2 gamsat,pref 3 uni,pref 3 gpa,pref 3 gamsat,pref 4 uni,pref 4 gpa,pref 4 gamsat,pref 5 uni,pref 5 gpa,pref 5 gamsat,pref 6 uni,pref 6 gpa,pref 6 gamsat,year,uq tier,casper quartile,deakin tier,unimelb gam,undf bonuses,unds bonuses,uow bonuses
0,Non-Rural,68,88,78,0,0,0,non-wa resident,Yes,The University of Western Australia,6.274,78.0,Australian National University,6.118,78.0,,,,,,,,,,,,,,,,2022,,,,,,,
1,Non-Rural,67,77,78,2,4,0,"wa resident, masters by coursework and research complete",Yes,The University of Western Australia,6.6,75.0,The University of Melbourne,5.5,74.0,,,,,,,,,,,,,,,,2022,,,,,,,
2,Non-Rural,67,78,93,0,0,0,,Yes,The University of Western Australia,6.719,82.75,,,,,,,,,,,,,,,,,,,2022,,,,,,,
3,Non-Rural,53,76,84,0,0,0,,Yes,The University of Western Australia,6.95,74.25,,,,,,,,,,,,,,,,,,,2022,,,,,,,
4,Non-Rural,54,62,72,0,0,0,,Yes,The University of Western Australia,7.0,65.0,Griffith University,7.0,65.0,The University of Queensland,7.0,62.66666667,The University of Melbourne,7.0,62.66666667,The University of Notre Dame Sydney,7.0,62.66666667,Deakin University,7.0,65.0,,,,2022,,,,,,,
5,Non-Rural,75,68,76,0,0,0,,Yes,The University of Western Australia,6.826,73.75,,,,,,,,,,,,,,,,,,,2022,,,,,,,
6,Non-Rural,67,72,76,2,0,0,,Yes,The University of Western Australia,6.47,72.75,The University of Melbourne,6.47,71.66666667,The University of Notre Dame Sydney,6.46,71.66666667,Deakin University,6.47,72.75,The University of Notre Dame Fremantle,6.46,71.66666667,,,,,,,2022,,,,,,,
7,Non-Rural,59,74,65,0,0,0,,Yes,The University of Western Australia,6.969,65.75,The University of Melbourne,6.969,66.0,Deakin University,6.99,65.75,,,,,,,,,,,,,2022,,,,,,,
8,Non-Rural,65,60,71,0,0,0,,Yes,The University of Western Australia,6.9063,66.75,Deakin University,6.9,66.75,The University of Melbourne,6.9063,65.33333333,The University of Wollongong,5.5,66.75,,,,,,,,,,2022,,,,,,,
9,Rural,77,64,77,8,0,0,wa resident,Yes,The University of Western Australia,6.76,73.75,,,,,,,,,,,,,,,,,,,2022,,,,,,,
10,Non-Rural,63,62,79,0,0,0,wa resident,Yes,The University of Western Australia,6.97,70.75,,,,,,,,,,,,,,,,,,,2022,,,,,,,
11,Non-Rural,58,72,67,2,0,0,,Yes,The University of Western Australia,7.0,66.0,The University of Queensland,7.0,65.66666667,Griffith University,7.0,66.0,The University of Melbourne,7.0,65.66666667,Deakin University,7.0,66.0,Australian National University,7.0,66.0,,,,2022,,,,,,,
12,Non-Rural,62,75,76,0,0,0,,Yes,The University of Western Australia,6.41,72.25,The University of Melbourne,6.41,71.0,Deakin University,6.41,72.25,,,,,,,,,,,,,2022,,,,,,,
13,Rural,61,60,62,8,0,5,wa resident,Yes,The University of Western Australia,5.893,61.25,,,,,,,,,,,,,,,,,,,2022,,,,,,,
14,Non-Rural,70,74,64,0,0,0,,Yes,The University of Western Australia,6.917,68.0,The University of Melbourne,6.913,69.33333333,Deakin University,6.917,68.0,Griffith University,6.896,68.0,,,,,,,,,,2022,,,,,,,
15,Non-Rural,77,72,93,0,0,0,,Yes,The University of Western Australia,6.2,83.75,The University of Notre Dame Fremantle,6.2,80.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
16,Non-Rural,62,68,67,0,2,0,,Yes,The University of Western Australia,6.95,66.0,The University of Melbourne,6.94,65.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
17,Non-Rural,61,65,77,0,0,0,non-wa resident,Yes,The University of Western Australia,6.854,70.0,Griffith University,6.465,70.0,Deakin University,6.875,70.0,The University of Melbourne,6.875,67.66666667,Australian National University,6.847,70.0,The University of Queensland,6.857,67.66666667,,,,2022,,,,,,,
18,Non-Rural,65,72,65,0,0,0,wa resident,Yes,The University of Western Australia,7.0,66.75,The University of Notre Dame Fremantle,7.0,67.33333333,,,,,,,,,,,,,,,,2022,,,,,,,
19,Rural,63,57,62,0,0,0,,Yes,Australian National University,6.1,61.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
20,Non-Rural,61,69,63,2,0,0,,No,,,,The University of Wollongong,5.5,64.0,The University of Notre Dame Sydney,6.85,64.33333333,The University of Queensland,6.76,64.33333333,Deakin University,6.89,64.0,The University of Notre Dame Fremantle,6.85,64.33333333,Australian National University,6.85,64.0,2022,,,,,,,
21,Non-Rural,59,68,77,0,0,0,,No,,,,Griffith University,6.619,70.25,,,,,,,,,,,,,,,,2022,,,,,,,
22,Non-Rural,62,68,82,2,2,0,,Yes,Australian National University,6.854,73.5,The University of Melbourne,6.555,70.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
23,Non-Rural,65,69,57,2,2,0,above average portfolio,No,,,,Australian National University,6.792,62.0,The University of Notre Dame Sydney,6.792,63.66666667,Griffith University,6.73,62.0,Deakin University,6.615,62.0,The University of Notre Dame Fremantle,6.792,63.66666667,,,,2022,,,,,,,
24,Non-Rural,69,63,75,4,0,0,,No,,,,The University of Melbourne,6.413,69.0,Deakin University,6.427,70.5,Australian National University,6.427,70.5,Griffith University,6.396,70.5,The University of Western Australia,6.396,70.5,,,,2022,,,,,,,
25,Non-Rural,81,73,71,2,2,0,,Yes,Deakin University,6.85,74.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
26,Non-Rural,61,69,76,0,2,0,,No,,,,The University of Queensland,6.0,68.66666667,Australian National University,6.0,70.5,Griffith University,6.0,70.5,,,,,,,,,,2022,,,,,,,
27,Non-Rural,60,70,61,0,0,0,,No,,,,The University of Notre Dame Sydney,5.912,63.66666667,The University of Wollongong,5.5,63.0,The University of Queensland,5.2,63.66666667,The University of Melbourne,5.5,63.66666667,Deakin University,5.6,63.0,The University of Notre Dame Fremantle,5.9,63.66666667,2022,,,,,,,
28,Non-Rural,55,68,65,2,0,0,average portfolio,No,,,,Griffith University,6.958,63.25,The University of Melbourne,6.958,62.66666667,Australian National University,6.948,63.25,Deakin University,6.948,63.25,The University of Notre Dame Sydney,6.948,62.66666667,The University of Notre Dame Fremantle,6.948,62.66666667,2022,,,,,,,
29,Non-Rural,68,73,66,0,2,0,,Yes,Australian National University,6.979,68.25,,,,,,,,,,,,,,,,,,,2022,,,,,,,
30,Rural,62,71,52,6,0,0,gam,Yes,Griffith University,6.93,59.25,,,,,,,,,,,,,,,,,,,2022,,,,,,,
