,uni,offer type,postgrad,gpa,gamsat,combo score
0,Australian National University,CSP,No,6.96,66.0,1.654285714
1,Australian National University,Other,No,6.63,71.0,1.657142857
2,Australian National University,CSP,No,6.83,73.0,1.705714286
3,Australian National University,CSP,No,6.54,74.0,1.674285714
4,Australian National University,Other,No,6.79,76.0,1.73
5,Australian National University,CSP,Yes,6.51,76.0,1.69
6,Australian National University,CSP,No,6.0,78.0,1.637142857
18,Deakin University,CSP,No,6.85,64.0,1.618571429
26,Deakin University,CSP,No,6.88,70.0,1.682857143
27,Deakin University,BMP,No,6.52,70.0,1.631428571
28,Deakin University,BMP,No,6.85,71.0,1.688571429
44,Flinders University,CSP,Yes,6.33,65.0,1.554285714
46,Flinders University,CSP,No,6.97,66.0,1.655714286
49,Flinders University,CSP,No,6.97,69.0,1.685714286
50,Flinders University,BMP,No,6.75,69.0,1.654285714
52,Flinders University,CSP,No,7.0,71.0,1.71
53,Flinders University,CSP,No,6.79,72.0,1.69
54,Flinders University,BMP,No,6.06,72.0,1.585714286
55,Flinders University,BMP,No,5.74,72.0,1.54
56,Flinders University,CSP,No,5.8,73.0,1.558571429
57,Flinders University,CSP,No,6.88,74.0,1.722857143
58,Flinders University,CSP,No,6.56,75.0,1.687142857
65,Griffith University,CSP,Yes,7.0,66.0,1.66
66,Griffith University,CSP,No,6.94,66.0,1.651428571
67,Griffith University,CSP,No,6.88,66.0,1.642857143
68,Griffith University,BMP,No,6.7,68.0,1.637142857
71,Griffith University,BMP,Yes,6.6,68.0,1.622857143
72,Griffith University,CSP,No,6.7,68.0,1.637142857
73,Griffith University,CSP,No,6.6,70.0,1.642857143
74,Griffith University,CSP,Yes,6.98,70.0,1.697142857
75,Griffith University,CSP,No,6.41,71.0,1.625714286
76,Griffith University,CSP,No,6.49,71.0,1.637142857
77,Griffith University,CSP,No,7.0,71.0,1.71
78,Griffith University,CSP,No,6.48,72.0,1.645714286
102,University of Melbourne,CSP,No,7.0,66.0,1.66
104,University of Melbourne,CSP,No,7.0,67.0,1.67
105,University of Melbourne,CSP,No,6.89,68.0,1.664285714
106,University of Melbourne,CSP,No,6.93,68.0,1.67
111,University of Melbourne,CSP,No,6.93,69.0,1.68
112,University of Melbourne,CSP,Yes,6.85,69.0,1.668571429
113,University of Melbourne,CSP,No,7.0,70.0,1.7
114,University of Melbourne,CSP,No,6.94,70.0,1.691428571
115,University of Melbourne,CSP,No,7.0,70.0,1.7
116,University of Melbourne,BMP,No,6.8,70.0,1.671428571
117,University of Melbourne,CSP,No,6.99,70.0,1.698571429
118,University of Melbourne,CSP,No,6.68,70.0,1.654285714
119,University of Melbourne,CSP,No,6.7,70.0,1.657142857
120,University of Melbourne,CSP,No,6.64,70.0,1.648571429
121,University of Melbourne,CSP,Yes,6.82,71.0,1.684285714
122,University of Melbourne,CSP,No,6.98,71.0,1.707142857
123,University of Melbourne,CSP,No,6.9,72.0,1.705714286
124,University of Melbourne,CSP,No,6.69,72.0,1.675714286
125,University of Melbourne,CSP,No,6.65,73.0,1.68
126,University of Melbourne,BMP,No,6.96,73.0,1.724285714
127,University of Melbourne,CSP,No,6.61,73.0,1.674285714
128,University of Melbourne,CSP,No,7.0,73.0,1.73
131,University of Melbourne,CSP,No,6.83,75.0,1.725714286
